ID,year,week,start.date,end.date,district,cases
315,2007,12,2007-03-17,2007-03-23,Kalutara,5
316,2007,12,2007-03-17,2007-03-23,Kandy,4
317,2007,12,2007-03-17,2007-03-23,Matale,1
318,2007,12,2007-03-17,2007-03-23,NuwaraEliya,0
319,2007,12,2007-03-17,2007-03-23,Galle,0
320,2007,12,2007-03-17,2007-03-23,Hambanthota,1
321,2007,12,2007-03-17,2007-03-23,Matara,1
322,2007,12,2007-03-17,2007-03-23,Jaffna,0
323,2007,12,2007-03-17,2007-03-23,Kilinochchi,0
324,2007,12,2007-03-17,2007-03-23,Mannar,0
325,2007,12,2007-03-17,2007-03-23,Vavuniya,0
326,2007,12,2007-03-17,2007-03-23,Mullaitivu,0
327,2007,12,2007-03-17,2007-03-23,Batticaloa,1
328,2007,12,2007-03-17,2007-03-23,Ampara,0
329,2007,12,2007-03-17,2007-03-23,Trincomalee,0
330,2007,12,2007-03-17,2007-03-23,Kurunegala,0
331,2007,12,2007-03-17,2007-03-23,Puttalam,0
332,2007,12,2007-03-17,2007-03-23,Anuradhapura,1
333,2007,12,2007-03-17,2007-03-23,Polonnaruwa,0
334,2007,12,2007-03-17,2007-03-23,Badulla,1
335,2007,12,2007-03-17,2007-03-23,Monaragala,1
336,2007,12,2007-03-17,2007-03-23,Ratnapura,3
337,2007,12,2007-03-17,2007-03-23,Kegalle,1
338,2007,12,2007-03-17,2007-03-23,Kalmune,0
339,2007,13,2007-03-24,2007-03-30,Colombo,3
340,2007,13,2007-03-24,2007-03-30,Gampaha,1
341,2007,13,2007-03-24,2007-03-30,Kalutara,2
342,2007,13,2007-03-24,2007-03-30,Kandy,2
343,2007,13,2007-03-24,2007-03-30,Matale,0
344,2007,13,2007-03-24,2007-03-30,NuwaraEliya,0
345,2007,13,2007-03-24,2007-03-30,Galle,1
346,2007,13,2007-03-24,2007-03-30,Hambanthota,1
347,2007,13,2007-03-24,2007-03-30,Matara,3
348,2007,13,2007-03-24,2007-03-30,Jaffna,0
349,2007,13,2007-03-24,2007-03-30,Kilinochchi,0
350,2007,13,2007-03-24,2007-03-30,Mannar,0
351,2007,13,2007-03-24,2007-03-30,Vavuniya,0
352,2007,13,2007-03-24,2007-03-30,Mullaitivu,0
353,2007,13,2007-03-24,2007-03-30,Batticaloa,1
354,2007,13,2007-03-24,2007-03-30,Ampara,0
355,2007,13,2007-03-24,2007-03-30,Trincomalee,0
356,2007,13,2007-03-24,2007-03-30,Kurunegala,6
357,2007,13,2007-03-24,2007-03-30,Puttalam,0
358,2007,13,2007-03-24,2007-03-30,Anuradhapura,0
359,2007,13,2007-03-24,2007-03-30,Polonnaruwa,0
360,2007,13,2007-03-24,2007-03-30,Badulla,0
361,2007,13,2007-03-24,2007-03-30,Monaragala,0
362,2007,13,2007-03-24,2007-03-30,Ratnapura,0
363,2007,13,2007-03-24,2007-03-30,Kegalle,2
364,2007,13,2007-03-24,2007-03-30,Kalmune,0
365,2007,14,2007-03-31,2007-04-06,Colombo,10
366,2007,14,2007-03-31,2007-04-06,Gampaha,2
367,2007,14,2007-03-31,2007-04-06,Kalutara,5
368,2007,14,2007-03-31,2007-04-06,Kandy,7
369,2007,14,2007-03-31,2007-04-06,Matale,0
370,2007,14,2007-03-31,2007-04-06,NuwaraEliya,0
371,2007,14,2007-03-31,2007-04-06,Galle,0
372,2007,14,2007-03-31,2007-04-06,Hambanthota,3
373,2007,14,2007-03-31,2007-04-06,Matara,0
374,2007,14,2007-03-31,2007-04-06,Jaffna,0
375,2007,14,2007-03-31,2007-04-06,Kilinochchi,0
376,2007,14,2007-03-31,2007-04-06,Mannar,0
377,2007,14,2007-03-31,2007-04-06,Vavuniya,0
378,2007,14,2007-03-31,2007-04-06,Mullaitivu,0
379,2007,14,2007-03-31,2007-04-06,Batticaloa,0
380,2007,14,2007-03-31,2007-04-06,Ampara,0
381,2007,14,2007-03-31,2007-04-06,Trincomalee,0
382,2007,14,2007-03-31,2007-04-06,Kurunegala,6
383,2007,14,2007-03-31,2007-04-06,Puttalam,1
384,2007,14,2007-03-31,2007-04-06,Anuradhapura,1
385,2007,14,2007-03-31,2007-04-06,Polonnaruwa,1
386,2007,14,2007-03-31,2007-04-06,Badulla,1
387,2007,14,2007-03-31,2007-04-06,Monaragala,0
388,2007,14,2007-03-31,2007-04-06,Ratnapura,0
389,2007,14,2007-03-31,2007-04-06,Kegalle,1
390,2007,14,2007-03-31,2007-04-06,Kalmune,0
391,2007,15,2007-04-07,2007-04-13,Colombo,7
392,2007,15,2007-04-07,2007-04-13,Gampaha,3
393,2007,15,2007-04-07,2007-04-13,Kalutara,1
394,2007,15,2007-04-07,2007-04-13,Kandy,3
395,2007,15,2007-04-07,2007-04-13,Matale,1
396,2007,15,2007-04-07,2007-04-13,NuwaraEliya,0
397,2007,15,2007-04-07,2007-04-13,Galle,0
398,2007,15,2007-04-07,2007-04-13,Hambanthota,0
399,2007,15,2007-04-07,2007-04-13,Matara,1
400,2007,15,2007-04-07,2007-04-13,Jaffna,0
401,2007,15,2007-04-07,2007-04-13,Kilinochchi,0
